Date,price,zone
5/26/2024 16:00,-34.59061,VEA
5/26/2024 17:00,8.43897,PGAE
5/26/2024 17:00,-17.47903,SCE
5/26/2024 17:00,-16.9024,SDGE
5/26/2024 17:00,-15.22925,VEA
5/26/2024 18:00,20.13673,PGAE
5/26/2024 18:00,13.00641,SCE
5/26/2024 18:00,13.22432,SDGE
5/26/2024 18:00,12.88822,VEA
5/26/2024 19:00,29.87427,PGAE
5/26/2024 19:00,27.87624,SCE
5/26/2024 19:00,28.25204,SDGE
5/26/2024 19:00,27.36757,VEA
5/26/2024 20:00,36.21684,PGAE
5/26/2024 20:00,35.8268,SCE
5/26/2024 20:00,36.56191,SDGE
5/26/2024 20:00,35.03289,VEA
5/26/2024 21:00,32.23917,PGAE
5/26/2024 21:00,32.02232,SCE
5/26/2024 21:00,32.62804,SDGE
5/26/2024 21:00,31.20834,VEA
5/26/2024 22:00,26.9106,PGAE
5/26/2024 22:00,26.20599,SCE
5/26/2024 22:00,26.7215,SDGE
5/26/2024 22:00,25.51243,VEA
5/26/2024 23:00,26.09437,PGAE
5/26/2024 23:00,25.61081,SCE
5/26/2024 23:00,25.9417,SDGE
5/26/2024 23:00,24.88561,VEA
5/27/2024 0:00,34.10311,PGAE
5/27/2024 0:00,34.25036,SCE
5/27/2024 0:00,34.69895,SDGE
5/27/2024 0:00,33.42852,VEA
5/27/2024 1:00,31.34674,PGAE
5/27/2024 1:00,31.52628,SCE
5/27/2024 1:00,31.92,SDGE
5/27/2024 1:00,30.70418,VEA
5/27/2024 2:00,29.00561,PGAE
5/27/2024 2:00,29.14543,SCE
5/27/2024 2:00,29.48627,SDGE
5/27/2024 2:00,28.55116,VEA
5/27/2024 3:00,30.07315,PGAE
5/27/2024 3:00,30.23629,SCE
5/27/2024 3:00,30.59582,SDGE
5/27/2024 3:00,29.49005,VEA
5/27/2024 4:00,34.97265,PGAE
5/27/2024 4:00,35.35321,SCE
5/27/2024 4:00,35.7091,SDGE
5/27/2024 4:00,34.48638,VEA
5/27/2024 5:00,37.39629,PGAE
5/27/2024 5:00,37.38505,SCE
5/27/2024 5:00,37.85705,SDGE
5/27/2024 5:00,36.4036,VEA
5/27/2024 6:00,23.98219,PGAE
5/27/2024 6:00,23.40402,SCE
5/27/2024 6:00,23.57463,SDGE
5/27/2024 6:00,22.44435,VEA
5/27/2024 7:00,7.84128,PGAE
5/27/2024 7:00,-9.35752,SCE
5/27/2024 7:00,-9.11,SDGE
5/27/2024 7:00,-15.01,VEA
5/27/2024 8:00,1.71922,PGAE
5/27/2024 8:00,-27.24183,SCE
5/27/2024 8:00,-26.85942,SDGE
5/27/2024 8:00,-32.64856,VEA
5/27/2024 9:00,0,PGAE
5/27/2024 9:00,-32.29921,SCE
5/27/2024 9:00,-31.85835,SDGE
5/27/2024 9:00,-43.22282,VEA
5/27/2024 10:00,-4.79229,PGAE
5/27/2024 10:00,-31.70446,SCE
5/27/2024 10:00,-31.25605,SDGE
5/27/2024 10:00,-37.01925,VEA
5/27/2024 11:00,-4.99749,PGAE
5/27/2024 11:00,-32.96023,SCE
5/27/2024 11:00,-32.42085,SDGE
5/27/2024 11:00,-36.27,VEA
5/27/2024 12:00,-5.67293,PGAE
5/27/2024 12:00,-32.1221,SCE
5/27/2024 12:00,-31.55286,SDGE
5/27/2024 12:00,-32.96777,VEA
5/27/2024 13:00,-5.39344,PGAE
5/27/2024 13:00,-31.97587,SCE
5/27/2024 13:00,-31.30846,SDGE
5/27/2024 13:00,-31.02978,VEA
5/27/2024 14:00,-2.6602,PGAE
5/27/2024 14:00,-31.2273,SCE
5/27/2024 14:00,-30.53608,SDGE
5/27/2024 14:00,-32.62,VEA
5/27/2024 15:00,-0.06532,PGAE
5/27/2024 15:00,-29.97092,SCE
5/27/2024 15:00,-29.26191,SDGE
5/27/2024 15:00,-26.54739,VEA
5/27/2024 16:00,6.14175,PGAE
5/27/2024 16:00,-20.8891,SCE
5/27/2024 16:00,-20.3095,SDGE
5/27/2024 16:00,-18.21865,VEA
5/27/2024 17:00,20.84936,PGAE
5/27/2024 17:00,-6.01069,SCE
5/27/2024 17:00,-5.13133,SDGE
5/27/2024 17:00,-4.02011,VEA
5/27/2024 18:00,28.50524,PGAE
5/27/2024 18:00,26.88471,SCE
5/27/2024 18:00,27.30624,SDGE
5/27/2024 18:00,26.50116,VEA
5/27/2024 19:00,44.56745,PGAE
5/27/2024 19:00,44.03093,SCE
5/27/2024 19:00,44.55875,SDGE
5/27/2024 19:00,43.03622,VEA
5/27/2024 20:00,47.22837,PGAE
5/27/2024 20:00,46.57614,SCE
5/27/2024 20:00,52.08852,SDGE
5/27/2024 20:00,44.58555,VEA
5/27/2024 21:00,39.7918,PGAE
5/27/2024 21:00,38.44698,SCE
5/27/2024 21:00,43.67555,SDGE
5/27/2024 21:00,36.29506,VEA
5/27/2024 22:00,30.63248,PGAE
5/27/2024 22:00,30.49704,SCE
5/27/2024 22:00,31.15074,SDGE
5/27/2024 22:00,29.90656,VEA
5/27/2024 23:00,28.68253,PGAE
5/27/2024 23:00,28.78795,SCE
5/27/2024 23:00,29.1872,SDGE
5/27/2024 23:00,28.25203,VEA
5/28/2024 0:00,31.95725,PGAE
5/28/2024 0:00,31.58763,SCE
5/28/2024 0:00,32.03292,SDGE
5/28/2024 0:00,30.80949,VEA
5/28/2024 1:00,30.75661,PGAE
5/28/2024 1:00,30.36903,SCE
5/28/2024 1:00,30.8353,SDGE
5/28/2024 1:00,29.78648,VEA
5/28/2024 2:00,31.65597,PGAE
5/28/2024 2:00,31.40242,SCE
5/28/2024 2:00,31.8219,SDGE
5/28/2024 2:00,30.70939,VEA
5/28/2024 3:00,31.40138,PGAE
5/28/2024 3:00,30.86861,SCE
5/28/2024 3:00,31.30259,SDGE
5/28/2024 3:00,30.16869,VEA
5/28/2024 4:00,34.33701,PGAE
5/28/2024 4:00,33.97959,SCE
5/28/2024 4:00,34.39755,SDGE
5/28/2024 4:00,33.13597,VEA
5/28/2024 5:00,37.47341,PGAE
5/28/2024 5:00,37.16777,SCE
5/28/2024 5:00,37.60512,SDGE
5/28/2024 5:00,36.18936,VEA
5/28/2024 6:00,28.3722,PGAE
5/28/2024 6:00,27.42669,SCE
5/28/2024 6:00,27.77917,SDGE
5/28/2024 6:00,26.27692,VEA
5/28/2024 7:00,18.08928,PGAE
5/28/2024 7:00,-1.02454,SCE
5/28/2024 7:00,-0.23363,SDGE
5/28/2024 7:00,-4.05,VEA
5/28/2024 8:00,15.25904,PGAE
5/28/2024 8:00,-15.68991,SCE
5/28/2024 8:00,-14.66715,SDGE
5/28/2024 8:00,-34.39213,VEA
5/28/2024 9:00,11.71996,PGAE
5/28/2024 9:00,-14.96935,SCE
5/28/2024 9:00,-14.14574,SDGE
5/28/2024 9:00,-24.99902,VEA
5/28/2024 10:00,8.38139,PGAE
5/28/2024 10:00,-17.76856,SCE
5/28/2024 10:00,-17.01934,SDGE
5/28/2024 10:00,-31.8917,VEA
5/28/2024 11:00,6.35,PGAE
5/28/2024 11:00,-17.03244,SCE
5/28/2024 11:00,-15.51844,SDGE
5/28/2024 11:00,10.02718,VEA
5/28/2024 12:00,5.12258,PGAE
5/28/2024 12:00,-18.22301,SCE
5/28/2024 12:00,-17.50181,SDGE
5/28/2024 12:00,-18.88017,VEA
5/28/2024 13:00,5.88,PGAE
5/28/2024 13:00,-18.98812,SCE
5/28/2024 13:00,-16.32847,SDGE
5/28/2024 13:00,-5.32081,VEA
5/28/2024 14:00,8.87182,PGAE
5/28/2024 14:00,-18.05016,SCE
5/28/2024 14:00,-17.18023,SDGE
5/28/2024 14:00,-18.4,VEA
5/28/2024 15:00,10.84612,PGAE
5/28/2024 15:00,-4.88696,SCE
5/28/2024 15:00,-9.77077,SDGE
5/28/2024 15:00,-14.03086,VEA
5/28/2024 16:00,11.56485,PGAE
5/28/2024 16:00,-9.84962,SCE
