RAVEN_sample_ID,Time,_ROM_Cluster,Year,scaling,Dispatch__npp__production__electricity,Dispatch__cspturbine__production__electricityBoost,Dispatch__cspturbine__production__heat,Dispatch__solar__production__heat,Dispatch__H_Import__production__heat,Dispatch__TES__level__heat,Dispatch__TES__charge__heat,Dispatch__TES__discharge__heat,Dispatch__grid__production__electricity,Dispatch__gridBoost__production__electricityBoost,Cap_DNI,Price,ProbabilityWeight,PointProbability,prefix
0,105,1,2022,1.0,48.6000002987,2.69346753585,-8.1620228359,33.1652590231,-9.99999090909e-09,40.2737641778,-18818.2835835,18793.2803473,-48.6000002987,-2.69346753585,0.771285097,48.53705,1.0,1.0,1
0,106,1,2022,1.0,48.6000002828,1.4000006997,-4.24242636272,34.0051841808,-9.99999090909e-09,70.0365219859,-18821.1916551,18791.4288973,-48.6000002828,-1.4000006997,0.79081824,44.74779,1.0,1.0,1
0,107,1,2022,1.0,48.6000002557,1.40000049016,-4.24242572775,32.9485932875,-9.99999090909e-09,98.7426895356,-18829.2800143,18800.5738468,-48.6000002557,-1.40000049016,0.766246359,39.48103,1.0,1.0,1
0,108,1,2022,1.0,48.6000002556,1.4000004886,-4.24242572302,23.9146629114,-9.99999090909e-09,118.414926714,-18843.8884328,18824.2161957,-48.6000002556,-1.4000004886,0.556154957,39.45606,1.0,1.0,1
0,109,1,2022,1.0,48.6000002582,1.48000144398,-4.48485286054,31.9210832947,-9.99999090909e-09,145.851157138,-18874.5956878,18847.1594574,-48.6000002582,-1.48000144398,0.742350778,39.90647,1.0,1.0,1
0,110,1,2022,1.0,48.6000002803,2.96000094419,-8.96969983087,32.8551539433,-9.99999090909e-09,169.736611241,-18840.5682793,18816.6828252,-48.6000002803,-2.96000094419,0.764073351,44.20324,1.0,1.0,1
0,111,1,2022,1.0,48.6000003243,4.44000066637,-13.4545474739,30.9730960408,-9.99999090909e-09,187.255159798,-18806.3743711,18788.8558225,-48.6000003243,-4.44000066637,0.720304563,56.22791,1.0,1.0,1
0,112,1,2022,1.0,48.6000003704,5.92000040126,-17.9393951553,22.8133382585,-9.99999090909e-09,192.129102891,-18824.5081574,18819.6342143,-48.6000003704,-5.92000040126,0.530542756,78.65586,1.0,1.0,1
0,113,1,2022,1.0,48.6000003843,7.39999962379,-22.4242412842,0.0,-9.99999090909e-09,169.704861596,-18832.5805125,18855.0047538,-48.6000003843,-7.39999962379,0.0,89.3872,1.0,1.0,1
0,114,1,2022,1.0,48.6000003765,7.39999971389,-22.4242415572,0.0,-9.99999090909e-09,147.280620029,-18832.7487198,18855.1729614,-48.6000003765,-7.39999971389,0.0,82.98497,1.0,1.0,1
0,115,1,2022,1.0,48.6000003687,7.39999961277,-22.4242412508,0.0,-9.99999090909e-09,124.856378768,-18832.4080513,18854.8322926,-48.6000003687,-7.39999961277,0.0,77.48496,1.0,1.0,1
0,116,1,2022,1.0,48.6000003638,7.39999952665,-22.4242409898,0.0,-9.99999090909e-09,102.432137769,-18832.4603352,18854.8845762,-48.6000003638,-7.39999952665,0.0,74.41459,1.0,1.0,1
